LINK	ANODE	BNODE	AB_000_015	AB_015_030	AB_030_045	AB_045_100	AB_100_115	AB_115_130	AB_130_145	AB_145_200	AB_200_215	AB_215_230	AB_230_245	AB_245_300	AB_300_315	AB_315_330	AB_330_345	AB_345_400	BA_000_015	BA_015_030	BA_030_045	BA_045_100	BA_100_115	BA_115_130	BA_130_145	BA_145_200	BA_200_215	BA_215_230	BA_230_245	BA_245_300	BA_300_315	BA_315_330	BA_330_345	BA_345_400
79	39	50	35.9	36.4	36.3	127.6	1388.9	961.5	840.3	531.9	256.4	35.3	35.4	35.3	44.4	44.4	44.4	44.4	37.1	36.7	37.0	169.5	393.7	357.1	71.5	36.5	35.9	37.5	35.7	35.7	35.7	35.5	35.3	35.6
80	40	51	48.2	48.3	48.3	48.1	48.0	48.6	48.4	48.3	48.2	47.5	48.2	48.3	48.7	48.3	45.2	66.7	48.3	48.2	48.1	47.9	47.7	47.8	48.5	48.2	48.3	48.4	47.7	48.3	48.3	48.0	48.4	48.6
81	41	52	48.5	48.2	48.0	48.4	47.8	48.3	48.5	48.3	47.9	216.0	396.8	380.2	47.7	53.1	66.7	66.7	47.8	47.9	48.1	47.9	47.5	48.4	48.7	48.5	48.1	48.9	48.3	48.3	48.2	47.8	50.3	49.2
82	42	53	35.9	35.7	36.1	291.5	2000.0	2000.0	2000.0	2000.0	2000.0	2000.0	2000.0	1694.9	877.2	235.3	44.4	44.4	37.7	36.1	36.2	36.2	36.0	46.3	71.8	74.4	111.4	36.1	53.0	57.4	170.6	36.7	36.2	35.1
83	43	54	48.0	48.6	48.0	48.6	48.1	48.9	48.4	48.4	47.9	49.4	48.0	47.8	48.5	49.2	49.7	66.7	47.6	47.8	47.9	47.9	47.6	48.6	48.3	48.5	47.5	47.7	50.0	48.5	48.6	49.0	47.9	47.7
84	44	55	48.6	48.3	48.4	48.1	48.3	48.7	48.5	48.2	47.7	49.0	47.9	48.2	47.2	50.3	49.2	66.7	48.1	47.9	48.0	47.6	47.7	50.5	48.3	48.6	48.3	49.5	50.1	49.0	49.8	48.5	48.7	47.8
85	45	46	48.5	48.5	48.9	49.0	49.0	48.5	48.7	48.4	46.0	47.8	46.6	53.2	66.7	66.7	47.8	53.2	47.8	47.9	48.0	47.6	47.8	48.9	48.6	49.4	49.0	48.8	48.4	48.8	48.6	47.2	49.4	49.0
86	46	47	60.0	77.2	82.2	96.1	78.6	99.1	126.1	66.6	50.2	66.7	66.7	66.7	66.7	66.7	66.7	66.7	47.9	48.6	48.5	48.3	48.5	48.9	48.5	48.4	48.4	47.9	48.0	47.8	48.4	47.8	48.1	47.8
87	47	48	48.1	48.6	48.2	48.4	48.1	48.7	48.3	48.1	48.2	47.9	47.9	47.3	66.7	49.5	46.6	48.5	58.9	60.1	77.5	74.5	56.4	72.5	75.5	60.6	55.2	52.7	53.9	51.4	50.9	50.2	50.3	50.8
88	48	49	48.2	48.2	48.5	48.4	48.2	48.2	48.6	48.5	49.1	48.0	47.8	48.0	51.2	66.7	66.7	66.7	47.9	48.0	48.2	48.1	48.1	48.2	48.4	48.3	48.1	48.2	48.1	48.3	47.8	47.9	48.0	47.4
89	49	50	68.3	94.8	132.6	507.6	1724.1	1960.8	2000.0	2000.0	2000.0	675.7	51.6	55.1	54.3	52.4	66.7	48.6	48.3	48.4	48.3	48.3	49.3	48.4	48.6	48.5	48.3	48.1	48.0	48.2	48.0	47.9	48.1	48.0
90	50	51	48.3	48.0	48.5	48.7	48.8	48.8	49.6	49.1	48.6	48.1	48.0	48.3	48.0	47.9	48.8	47.8	62.3	160.8	157.0	456.6	1282.1	1612.9	2000.0	2000.0	1639.3	411.5	54.9	56.8	53.7	50.5	57.5	48.0
91	51	52	47.9	48.2	48.5	48.1	48.4	48.0	48.4	48.5	48.1	373.1	900.9	104.7	47.8	48.0	48.0	47.9	48.4	48.0	48.2	48.0	48.0	48.2	48.5	48.2	47.9	47.4	47.8	48.1	48.4	47.8	47.8	66.7
92	52	53	58.1	63.8	62.3	224.2	862.1	1785.7	2000.0	2000.0	2000.0	2000.0	2000.0	2000.0	2000.0	1960.8	751.9	51.0	48.3	48.4	48.4	48.2	48.3	48.8	48.7	48.9	48.9	48.3	57.4	52.9	48.7	48.5	47.6	66.7
93	53	54	47.9	47.9	48.7	49.0	48.4	49.0	49.3	48.8	48.6	49.5	49.1	49.1	49.2	49.3	48.6	48.1	54.6	68.0	283.3	483.1	2000.0	2000.0	2000.0	2000.0	2000.0	2000.0	2000.0	2000.0	2000.0	2000.0	401.6	66.7
94	54	55	47.6	48.4	47.5	47.8	48.0	48.2	49.0	48.5	48.3	48.4	48.4	48.6	48.9	48.7	49.0	48.7	48.3	48.8	48.1	48.3	48.0	48.5	48.9	48.6	46.5	66.7	66.7	66.7	46.6	49.2	66.7	66.7
95	45	56	51.9	52.8	51.9	52.4	52.0	51.6	52.7	53.0	51.8	66.7	49.8	66.7	66.7	66.7	52.6	66.7	48.0	48.1	48.3	48.1	48.0	48.1	48.6	49.2	48.4	48.3	48.3	48.4	48.5	48.5	49.8	48.5
96	46	57	52.4	53.6	51.8	53.4	53.3	53.3	53.4	52.5	51.7	49.0	66.7	66.7	66.7	66.7	48.6	66.7	48.1	48.8	48.3	48.3	49.2	48.5	47.9	49.5	48.4	48.2	48.1	48.0	47.9	48.7	48.3	47.6
