METADATA	Wed Dec 11 15:07:58 2013	BOX_LENGTH	0	CELL_LENGTH	7.5	SAMPLE_TIME	1	INCREMENT	86400	NUM_BINS	6	VEHICLE_TYPE	0	VEHICLE_SUBTYPE	0
LINK	DIR	OFFSET	TIME	SPEED0	SPEED1	SPEED2	SPEED3	SPEED4	SPEED5
55	1	1000.0	24:00	171105	146841	9097	18033	58426	0
56	0	1000.0	24:00	80	187	5356	19797	79	0
56	1	1000.0	24:00	255705	7792	6049	23019	0	0
57	0	1000.0	24:00	79	287	6040	21673	63	0
57	1	1000.0	24:00	377664	9725	5907	22432	0	0
58	0	1000.0	24:00	376576	53625	7057	30652	92526	0
58	1	1000.0	24:00	212646	233662	11113	21423	69339	0
59	0	1000.0	24:00	114	205	6153	22861	105	0
59	1	1000.0	24:00	31244	3237	6193	23861	0	0
60	0	1000.0	24:00	57	195	5378	20342	70	0
60	1	1000.0	24:00	9305	2021	6393	23914	0	0
61	0	1000.0	24:00	280885	133199	4687	17438	52714	0
61	1	1000.0	24:00	57326	12623	4423	25426	85047	0
62	0	1000.0	24:00	74	149	4348	16383	72	0
62	1	1000.0	24:00	1426	1116	4637	17908	0	0
63	0	1000.0	24:00	40	96	2917	10677	55	0
63	1	1000.0	24:00	529	744	2988	11615	0	0
64	0	1000.0	24:00	37	48	2466	9564	0	0
64	1	1000.0	24:00	35	128	2883	11122	0	0
65	0	1000.0	24:00	24763	3426	5682	21561	0	0
65	1	1000.0	24:00	97	337	6875	25298	127	0
66	0	1000.0	24:00	84	278	6203	22887	58	0
66	1	1000.0	24:00	5677	1625	5998	23181	0	0
67	0	1000.0	24:00	61	156	6106	23493	0	0
67	1	1000.0	24:00	88	183	6461	24776	0	0
68	0	1000.0	24:00	697747	40361	5610	18835	0	0
68	1	1000.0	24:00	125	431	8207	30077	120	0
69	0	1000.0	24:00	107	326	8002	29124	101	0
69	1	1000.0	24:00	492015	33713	6502	22645	0	0
70	0	1000.0	24:00	83	147	6752	25732	0	0
70	1	1000.0	24:00	70	142	6296	23647	0	0
71	0	1000.0	24:00	920327	22392	4857	18664	0	0
71	1	1000.0	24:00	103	255	6008	21725	77	0
72	0	1000.0	24:00	96	613	7409	24570	67	0
72	1	1000.0	24:00	821763	18582	4506	16898	0	0
73	0	1000.0	24:00	53	148	3268	12379	0	0
73	1	1000.0	24:00	15	20	2367	9121	0	0
74	0	1000.0	24:00	12	46	2846	11159	0	0
74	1	1000.0	24:00	54	92	3297	13122	0	0
75	0	1000.0	24:00	24	105	4699	17507	0	0
75	1	1000.0	24:00	87	160	5179	20655	0	0
76	0	1000.0	24:00	1105	902	2049	27536	97662	0
76	1	1000.0	24:00	1826	967	1815	30401	106732	0
77	0	1000.0	24:00	83	191	6661	24962	0	0
77	1	1000.0	24:00	88	235	6964	26682	0	0
78	0	1000.0	24:00	63	108	6315	24134	0	0
78	1	1000.0	24:00	90	133	6474	24814	0	0
79	0	1000.0	24:00	146880	252359	11251	22601	74659	0
79	1	1000.0	24:00	262068	32089	3262	37634	131330	0
80	0	1000.0	24:00	89	189	6975	26175	0	0
80	1	1000.0	24:00	86	175	6835	26102	0	0
81	0	1000.0	24:00	11838	241	6085	23546	0	0
81	1	1000.0	24:00	63	166	6252	24099	0	0
82	0	1000.0	24:00	395950	245528	5195	13651	45994	0
82	1	1000.0	24:00	40782	2144	2632	30589	102322	0
83	0	1000.0	24:00	105	126	4786	18596	0	0
83	1	1000.0	24:00	74	149	5392	21160	0	0
84	0	1000.0	24:00	30	56	2887	11524	0	0
84	1	1000.0	24:00	58	84	3291	12846	0	0
85	0	1000.0	24:00	37	58	2811	10780	0	0
85	1	1000.0	24:00	43	110	2835	10791	0	0
86	0	1000.0	24:00	21014	3046	5904	22200	0	0
86	1	1000.0	24:00	101	265	6055	22448	122	0
87	0	1000.0	24:00	93	179	5790	21860	85	0
87	1	1000.0	24:00	10259	2029	7021	27348	0	0
88	0	1000.0	24:00	136	216	6481	24707	0	0
88	1	1000.0	24:00	82	192	6909	26747	0	0
89	0	1000.0	24:00	918120	46168	5715	20318	0	0
89	1	1000.0	24:00	117	391	8179	29750	102	0
90	0	1000.0	24:00	136	492	8242	29854	86	0
90	1	1000.0	24:00	693157	34071	6398	22716	0	0
91	0	1000.0	24:00	45890	1071	6593	25321	0	0
91	1	1000.0	24:00	55	121	6242	23710	0	0
92	0	1000.0	24:00	161286	40133	4552	15184	0	0
92	1	1000.0	24:00	631	316	5801	21095	61	0
93	0	1000.0	24:00	93	674	6991	23200	32	0
93	1	1000.0	24:00	167499	36192	3943	13468	0	0
94	0	1000.0	24:00	48	121	2884	10938	0	0
94	1	1000.0	24:00	13	34	2424	9977	0	0
95	0	1000.0	24:00	749	1066	3501	13459	0	0
95	1	1000.0	24:00	71	178	3907	15230	102	0
96	0	1000.0	24:00	1807	1723	6097	22234	0	0
96	1	1000.0	24:00	101	238	6210	22577	131	0
97	0	1000.0	24:00	55346	13495	6423	31760	105107	0
97	1	1000.0	24:00	821	1225	4950	34841	107918	0
98	0	1000.0	24:00	181164	7700	7826	29482	0	0
98	1	1000.0	24:00	93	550	9314	31872	89	0
99	0	1000.0	24:00	775178	25048	6699	24354	0	0
99	1	1000.0	24:00	134	632	8816	30666	55	0
100	0	1000.0	24:00	251421	426287	29229	17470	43750	0
100	1	1000.0	24:00	23698	2114	6100	45015	139147	0
101	0	1000.0	24:00	122565	44471	5361	18934	0	0
101	1	1000.0	24:00	139	450	8254	29555	78	0
102	0	1000.0	24:00	720125	24863	6272	23401	0	0
102	1	1000.0	24:00	3538	511	8448	30486	82	0
103	0	1000.0	24:00	476234	363193	17370	10954	26559	0
103	1	1000.0	24:00	305997	104825	12498	29063	80774	0
104	0	1000.0	24:00	3530	1727	5508	21244	0	0
104	1	1000.0	24:00	70	246	6205	23397	123	0
105	0	1000.0	24:00	755	1071	3627	13781	0	0
105	1	1000.0	24:00	40	191	4178	15781	108	0
106	0	1000.0	24:00	29	194	1020	6655	22779	0
106	1	1000.0	24:00	125	227	373	7017	25830	0
107	0	1000.0	24:00	35925	5220	2355	15017	52130	0
107	1	1000.0	24:00	408	786	2321	16578	53930	0
108	0	1000.0	24:00	775637	66269	5952	30104	92267	0
108	1	1000.0	24:00	244537	22706	4990	32921	115827	0
109	0	1000.0	24:00	291219	266823	4741	22412	74797	0
109	1	1000.0	24:00	151055	4979	2709	38826	136313	0
110	0	1000.0	24:00	427747	493273	22459	13613	31997	0
110	1	1000.0	24:00	109370	4584	6435	45461	137756	0
111	0	1000.0	24:00	307446	19814	7866	45050	135675	0
111	1	1000.0	24:00	458611	517057	24875	12876	29788	0
112	0	1000.0	24:00	123908	136985	11089	31497	107158	0
112	1	1000.0	24:00	236831	316020	8061	19640	66903	0
113	0	1000.0	24:00	368519	341955	19458	15909	42473	0
113	1	1000.0	24:00	950564	137455	8327	26633	79190	0
114	0	1000.0	24:00	610	890	2331	17477	56332	0
114	1	1000.0	24:00	140373	5028	2323	14877	51577	0
115	0	1000.0	24:00	118	216	371	7114	26856	0
