HOUSEHOLD	PERSON	TRIP	LEG	MODE	EVENT	SCHEDULE	ACTUAL	LINK	OFFSET
59217	1	1	2	0	2	189	167	173	500
36224	1	1	2	0	2	334	237	-214	500
8271	1	1	2	0	2	156	119	182	500
43521	1	1	2	0	2	222	216	172	500
27675	1	1	2	0	2	322	261	178	500
40944	1	1	2	0	2	266	228	173	500
32492	1	1	2	0	2	278	268	181	500
41540	1	1	2	0	2	300	248	45	500
42915	1	1	2	0	2	311	248	-48	500
26600	1	1	2	0	2	267	211	-36	500
34944	1	1	2	0	2	311	257	177	500
38370	1	1	2	0	2	222	191	172	500
28133	1	1	2	0	2	222	190	-36	500
47404	1	1	2	0	2	311	280	47	500
40177	1	1	2	0	2	333	261	-65	500
9632	1	1	2	0	2	245	232	170	500
40369	1	1	2	0	2	211	183	-40	500
38184	1	1	2	0	2	367	285	-62	500
17533	1	1	2	0	2	344	270	-46	500
18257	1	1	2	0	2	311	251	-55	500
356	1	1	2	0	2	278	241	181	500
56684	1	1	2	0	2	267	201	-150	500
16168	1	1	2	0	2	200	170	-39	500
13329	1	1	2	0	2	189	152	-38	500
27572	1	1	2	0	2	311	258	29	500
10614	1	1	2	0	2	278	212	30	500
1863	1	1	2	0	2	322	263	178	500
17831	1	1	2	0	2	311	249	29	500
27494	1	1	2	0	2	334	243	-213	500
21132	1	1	2	0	2	266	235	187	500
59472	1	1	2	0	2	256	234	-19	500
23381	1	1	2	0	2	211	172	177	500
54954	1	1	2	0	2	178	135	25	500
3596	1	1	2	0	2	378	287	-42	500
56626	1	1	2	0	2	333	278	-68	500
45079	1	1	2	0	2	89	82	187	500
14996	1	1	2	0	2	322	243	-46	500
49830	1	1	2	0	2	322	235	-204	500
59967	1	1	2	0	2	233	186	174	500
6625	1	1	2	0	2	222	179	181	500
41085	1	1	2	0	2	300	242	-47	500
32261	1	1	2	0	2	222	228	-175	500
23905	1	1	2	0	2	389	281	-62	500
47945	1	1	2	0	2	211	217	-37	500
44904	1	1	2	0	2	200	170	-39	500
36253	1	1	2	0	2	400	294	-59	500
59651	1	1	2	0	2	256	209	110	500
13650	1	1	2	0	2	122	93	-19	500
13670	1	1	2	0	2	333	277	189	500
41130	1	1	2	0	2	322	246	178	500
18965	1	1	2	0	2	267	201	-2	500
44225	1	1	2	0	2	334	244	-211	500
52602	1	1	2	0	2	256	225	176	500
56390	1	1	2	0	2	144	133	55	500
32883	1	1	2	0	2	134	97	200	500
25790	1	1	2	0	2	389	298	-61	500
33325	1	1	2	0	2	378	297	-42	500
46054	1	1	2	0	2	333	267	-155	500
5911	1	1	2	0	2	311	250	-47	500
20324	1	1	2	0	2	300	239	-37	500
2184	1	1	2	0	2	267	201	193	500
39503	1	1	2	0	2	167	136	-34	500
36769	1	1	2	0	2	67	46	-198	500
36241	1	1	2	0	2	333	294	189	500
50430	1	1	2	0	2	233	211	-50	500
28625	1	1	2	0	2	122	91	-25	500
31345	1	1	2	0	2	122	91	-13	500
24663	1	1	2	0	2	300	249	174	500
7065	1	1	2	0	2	178	149	171	500
44116	1	1	2	0	2	289	218	-41	500
59676	1	1	2	0	2	222	195	51	500
28348	1	1	2	0	2	233	204	174	500
11192	1	1	2	0	2	233	201	-37	500
1864	1	1	2	0	2	267	194	-22	500
48056	1	1	2	0	2	333	285	-39	500
47334	1	1	2	0	2	322	275	175	500
7598	1	1	2	0	2	233	211	174	500
36491	1	1	2	0	2	267	211	-36	500
17864	1	1	2	0	2	211	173	-40	500
43943	1	1	2	0	2	200	181	-35	500
14561	1	1	2	0	2	200	167	183	500
1929	1	1	2	0	2	389	309	-46	500
24273	1	1	2	0	2	322	274	175	500
11418	1	1	2	0	2	322	264	49	500
47247	1	1	2	0	2	322	244	178	500
8160	1	1	2	0	2	278	225	-49	500
1022	1	1	2	0	2	267	196	11	500
58415	1	1	2	0	2	289	239	119	500
52515	1	1	2	0	2	211	163	-193	500
23440	1	1	2	0	2	400	312	176	500
24148	1	1	2	0	2	278	216	177	500
6490	1	1	2	0	2	233	176	-176	500
36315	1	1	2	0	2	134	105	-23	500
19727	1	1	2	0	2	378	291	-42	500
26637	1	1	2	0	2	322	286	179	500
45103	1	1	2	0	2	300	253	-37	500
19202	1	1	2	0	2	300	252	-40	500
6639	1	1	2	0	2	133	131	184	500
39411	1	1	2	0	2	233	210	184	500
33368	1	1	2	0	2	333	314	186	500
49824	1	1	2	0	2	378	296	-39	500
24894	1	1	2	0	2	300	290	-47	500
43820	1	1	2	0	2	266	223	176	500
12280	1	1	2	0	2	267	219	31	500
14988	1	1	2	0	2	233	202	174	500
11848	1	1	2	0	2	222	175	-50	500
43231	1	1	2	0	2	100	96	-34	500
49601	1	1	2	0	2	344	282	204	500
13315	1	1	2	0	2	167	131	31	500
57751	1	1	2	0	2	344	308	-214	500
6435	1	1	2	0	2	178	143	-44	500
27201	1	1	2	0	2	178	141	-170	500
23329	1	1	2	0	2	100	103	-37	500
19055	1	1	2	0	2	400	299	179	500
4412	1	1	2	0	2	344	286	51	500
52579	1	1	2	0	2	344	268	157	500
52534	1	1	2	0	2	289	227	-80	500
14532	1	1	2	0	2	178	187	-170	500
57864	1	1	2	0	2	200	159	-95	500
59962	1	1	2	0	2	278	228	208	500
38512	1	1	2	0	2	211	164	29	500
16030	1	1	2	0	2	134	96	-24	500
6454	1	1	2	0	2	322	289	178	500
49357	1	1	2	0	2	278	226	179	500
3914	1	1	2	0	2	267	204	28	500
19213	1	1	2	0	2	245	182	17	500
30574	1	1	2	0	2	134	97	-24	500
20027	1	1	2	0	2	389	314	-43	500
16830	1	1	2	0	2	300	288	45	500
37929	1	1	2	0	2	256	193	176	500
37691	1	1	2	0	2	189	146	176	500
7151	1	1	2	0	2	411	321	-43	500
15303	1	1	2	0	2	378	302	161	500
43421	1	1	2	0	2	322	268	-45	500
26665	1	1	2	0	2	334	240	-211	500
22123	1	1	2	0	2	211	193	178	500
12905	1	1	2	0	2	267	191	-25	500
2271	1	1	2	0	2	144	183	-176	500
8257	1	1	2	0	2	345	273	175	500
22290	1	1	2	0	2	311	231	-54	500
39717	1	1	2	0	2	267	200	29	500
4995	1	1	2	0	2	222	177	-50	500
3579	1	1	2	0	2	389	319	-148	500
26613	1	1	2	0	2	389	317	178	500
15600	1	1	2	0	2	366	314	-171	500
15128	1	1	2	0	2	367	282	51	500
52332	1	1	2	0	2	322	267	-33	500
12820	1	1	2	0	2	345	257	172	500
36800	1	1	2	0	2	300	233	31	500
50572	1	1	2	0	2	178	143	174	500
39501	1	1	2	0	2	167	129	176	500
22859	1	1	2	0	2	378	303	197	500
46323	1	1	2	0	2	222	202	-35	500
37732	1	1	2	0	2	189	139	176	500
3987	1	1	2	0	2	122	94	-13	500
39316	1	1	2	0	2	389	324	178	500
20810	1	1	2	0	2	322	286	-61	500
54705	1	1	2	0	2	345	283	142	500
52219	1	1	2	0	2	322	263	-33	500
12794	1	1	2	0	2	267	199	-191	500
2474	1	1	2	0	2	233	193	174	500
59361	1	1	2	0	2	134	96	-186	500
37159	1	1	2	0	2	156	133	182	500
59716	1	1	2	0	2	134	96	65	500
40504	1	1	2	0	2	356	312	180	500
52175	1	1	2	0	2	389	307	178	500
32679	1	1	2	0	2	366	298	188	500
58288	1	1	2	0	2	311	245	-128	500
21870	1	1	2	0	2	278	240	-33	500
37919	1	1	2	0	2	256	213	178	500
52376	1	1	2	0	2	156	152	183	500
20426	1	1	2	0	2	400	300	177	500
49417	1	1	2	0	2	267	195	28	500
5507	1	1	2	0	2	389	297	-48	500
16979	1	1	2	0	2	333	290	150	500
4564	1	1	2	0	2	167	125	31	500
58049	1	1	2	0	2	144	115	-165	500
5083	1	1	2	0	2	367	311	49	500
34820	1	1	2	0	2	411	310	73	500
32212	1	1	2	0	2	333	277	-155	500
45806	1	1	2	0	2	322	240	-46	500
13601	1	1	2	0	2	244	233	-35	500
28778	1	1	2	0	2	222	178	178	500
32193	1	1	2	0	2	178	173	171	500
2590	1	1	2	0	2	422	327	180	500
610	1	1	2	0	2	278	238	175	500
32290	1	1	2	0	2	178	189	45	500
4291	1	1	2	0	2	222	183	-43	500
14559	1	1	2	0	2	178	147	-170	500
11721	1	1	2	0	2	378	321	72	500
39770	1	1	2	0	2	311	271	-42	500
56023	1	1	2	0	2	278	242	179	500
45950	1	1	2	0	2	233	235	-33	500
48607	1	1	2	0	2	266	221	174	500
33348	1	1	2	0	2	178	148	-170	500
47345	1	1	2	0	2	144	120	178	500
19885	1	1	2	0	2	366	309	-33	500
225	1	1	2	0	2	344	289	-62	500
12974	1	1	2	0	2	334	245	30	500
7361	1	1	2	0	2	344	284	-62	500
25426	1	1	2	0	2	333	260	-38	500
25346	1	1	2	0	2	178	191	45	500
18701	1	1	2	0	2	233	183	176	500
59890	1	1	2	0	2	189	135	-147	500
42628	1	1	2	0	2	144	120	-40	500
15602	1	1	2	0	2	400	290	-64	500
1467	1	1	2	0	2	189	141	-208	500
57189	1	1	2	0	2	444	344	213	500
58644	1	1	2	0	2	322	263	-82	500
55300	1	1	2	0	2	244	228	-35	500
21012	1	1	2	0	2	200	195	-39	500
34342	1	1	2	0	2	467	338	-83	500
30335	1	1	2	0	2	400	326	-41	500
22466	1	1	2	0	2	389	311	178	500
56530	1	1	2	0	2	389	291	142	500
11321	1	1	2	0	2	311	263	-48	500
38585	1	1	2	0	2	256	187	176	500
31734	1	1	2	0	2	122	102	175	500
59632	1	1	2	0	2	278	241	150	500
31308	1	1	2	0	2	322	237	13	500
46595	1	1	2	0	2	233	178	176	500
53569	1	1	2	0	2	433	346	-25	500
6931	1	1	2	0	2	222	251	-176	500
9055	1	1	2	0	2	289	243	-38	500
59544	1	1	2	0	2	334	243	-59	500
57724	1	1	2	0	2	278	218	182	500
38479	1	1	2	0	2	355	304	166	500
30373	1	1	2	0	2	400	300	-60	500
24394	1	1	2	0	2	367	281	161	500
28302	1	1	2	0	2	355	312	-43	500
18988	1	1	2	0	2	400	292	201	500
35424	1	1	2	0	2	367	291	162	500
5971	1	1	2	0	2	222	175	178	500
34434	1	1	2	0	2	134	100	193	500
19052	1	1	2	0	2	311	326	-173	500
40284	1	1	2	0	2	422	324	151	500
27743	1	1	2	0	2	400	313	-64	500
57798	1	1	2	0	2	367	276	220	500
56984	1	1	2	0	2	134	150	-152	500
32704	1	1	2	0	2	200	147	-20	500
14442	1	1	2	0	2	133	114	175	500
3203	1	1	2	0	2	433	347	-44	500
39188	1	1	2	0	2	411	344	-44	500
55586	1	1	2	0	2	389	311	-85	500
2727	1	1	2	0	2	355	310	-58	500
7560	1	1	2	0	2	344	301	174	500
49647	1	1	2	0	2	344	284	-47	500
44281	1	1	2	0	2	311	243	-42	500
39060	1	1	2	0	2	222	175	-39	500
56272	1	1	2	0	2	100	102	108	500
46095	1	1	2	0	2	389	343	165	500
50481	1	1	2	0	2	322	281	145	500
7748	1	1	2	0	2	266	244	177	500
43213	1	1	2	0	2	233	212	177	500
40069	1	1	2	0	2	222	192	175	500
15222	1	1	2	0	2	411	342	-148	500
1970	1	1	2	0	2	333	291	185	500
49477	1	1	2	0	2	300	284	-37	500
25252	1	1	2	0	2	222	218	181	500
3581	1	1	2	0	2	267	193	-207	500
18499	1	1	2	0	2	355	334	-44	500
49199	1	1	2	0	2	355	306	-58	500
20614	1	1	2	0	2	233	193	177	500
41973	1	1	2	0	2	144	111	186	500
43324	1	1	2	0	2	366	322	-45	500
24980	1	1	2	0	2	311	295	-173	500
7096	1	1	2	0	2	311	263	187	500
11078	1	1	2	0	2	266	225	177	500
20489	1	1	2	0	2	222	216	-174	500
37886	1	1	2	0	2	266	215	177	500
35885	1	1	2	0	2	233	210	-40	500
42009	1	1	2	0	2	467	355	151	500
43350	1	1	2	0	2	411	345	-47	500
43695	1	1	2	0	2	311	279	-34	500
28226	1	1	2	0	2	300	275	-37	500
58176	1	1	2	0	2	333	247	-218	500
54883	1	1	2	0	2	278	226	-166	500
20595	1	1	2	0	2	178	157	175	500
26970	1	1	2	0	2	67	49	197	500
6510	1	1	2	0	2	422	340	-167	500
17638	1	1	2	0	2	355	315	-172	500
58551	1	1	2	0	2	278	252	180	500
46152	1	1	2	0	2	233	195	-37	500
55464	1	1	2	0	2	389	350	77	500
45429	1	1	2	0	2	467	336	-67	500
4714	1	1	2	0	2	411	323	177	500
45653	1	1	2	0	2	400	313	146	500
11642	1	1	2	0	2	400	295	206	500
6262	1	1	2	0	2	278	247	-34	500
34604	1	1	2	0	2	289	234	172	500
41239	1	1	2	0	2	178	185	-39	500
47452	1	1	2	0	2	267	193	167	500
44635	1	1	2	0	2	178	179	184	500
26258	1	1	2	0	2	100	84	176	500
6011	1	1	2	0	2	311	311	187	500
34294	1	1	2	0	2	311	263	-34	500
34732	1	1	2	0	2	322	259	-76	500
19699	1	1	2	0	2	300	231	177	500
30533	1	1	2	0	2	134	94	-206	500
14882	1	1	2	0	2	267	194	-209	500
16921	1	1	2	0	2	178	158	-34	500
32817	1	1	2	0	2	400	357	-173	500
14938	1	1	2	0	2	344	276	177	500
24999	1	1	2	0	2	322	252	173	500
21342	1	1	2	0	2	200	180	-41	500
12208	1	1	2	0	2	456	349	175	500
20906	1	1	2	0	2	411	333	29	500
34949	1	1	2	0	2	445	330	-148	500
2082	1	1	2	0	2	411	314	-76	500
58075	1	1	2	0	2	356	279	-26	500
59278	1	1	2	0	2	322	273	-45	500
36890	1	1	2	0	2	178	142	175	500
6825	1	1	2	0	2	134	99	-197	500
43161	1	1	2	0	2	378	339	179	500
6420	1	1	2	0	2	378	325	-42	500
32605	1	1	2	0	2	300	296	-37	500
27673	1	1	2	0	2	344	275	177	500
10655	1	1	2	0	2	289	232	-41	500
38542	1	1	2	0	2	200	183	186	500
33829	1	1	2	0	2	156	174	-35	500
31	1	1	2	0	2	378	326	189	500
24706	1	1	2	0	2	389	302	-174	500
50587	1	1	2	0	2	233	200	174	500
31730	1	1	2	0	2	200	143	-209	500
54510	1	1	2	0	2	133	118	-61	500
58879	1	1	2	0	2	122	92	97	500
16568	1	1	2	0	2	411	342	-192	500
11448	1	1	2	0	2	322	267	52	500
20548	1	1	2	0	2	278	264	179	500
59162	1	1	2	0	2	233	176	99	500
17651	1	1	2	0	2	378	320	-42	500
6855	1	1	2	0	2	245	199	175	500
5825	1	1	2	0	2	134	105	193	500
33643	1	1	2	0	2	378	321	189	500
28445	1	1	2	0	2	233	179	-174	500
48463	1	1	2	0	2	200	144	-209	500
6964	1	1	2	0	2	178	140	172	500
35021	1	1	2	0	2	445	363	-42	500
12316	1	1	2	0	2	344	277	29	500
1110	1	1	2	0	2	311	270	187	500
16237	1	1	2	0	2	278	224	-32	500
21028	1	1	2	0	2	211	174	-37	500
58046	1	1	2	0	2	134	92	-125	500
43125	1	1	2	0	2	445	325	-148	500
58026	1	1	2	0	2	378	279	-36	500
24714	1	1	2	0	2	400	323	-155	500
34194	1	1	2	0	2	222	205	-43	500
51756	1	1	2	0	2	156	175	-35	500
33687	1	1	2	0	2	389	337	-76	500
57777	1	1	2	0	2	333	267	-102	500
14844	1	1	2	0	2	222	186	176	500
8010	1	1	2	0	2	178	172	174	500
5595	1	1	2	0	2	134	96	-206	500
7953	1	1	2	0	2	411	340	178	500
29283	1	1	2	0	2	467	340	-18	500
45258	1	1	2	0	2	278	244	174	500
42583	1	1	2	0	2	144	118	181	500
37580	1	1	2	0	2	289	224	177	500
55465	1	1	2	0	2	222	192	59	500
17059	1	1	2	0	2	211	174	-37	500
30863	1	1	2	0	2	156	170	-36	500
5445	1	1	2	0	2	189	139	-16	500
12572	1	1	2	0	2	133	117	176	500
5226	1	1	2	0	2	467	368	-77	500
12339	1	1	2	0	2	411	335	-76	500
14901	1	1	2	0	2	378	300	-53	500
24909	1	1	2	0	2	222	205	-40	500
26634	1	1	2	0	2	178	153	174	500
26942	1	1	2	0	2	334	245	11	500
34698	1	1	2	0	2	134	94	-18	500
36318	1	1	2	0	2	100	88	174	500
1064	1	1	2	0	2	89	77	175	500
42109	1	1	2	0	2	344	292	-46	500
1800	1	1	2	0	2	467	360	162	500
42244	1	1	2	0	2	389	320	-76	500
31037	1	1	2	0	2	344	308	-46	500
1200	1	1	2	0	2	267	199	-21	500
8181	1	1	2	0	2	233	185	182	500
44333	1	1	2	0	2	200	153	-41	500
59323	1	1	2	0	2	422	314	151	500
34501	1	1	2	0	2	433	374	-190	500
31808	1	1	2	0	2	389	287	157	500
14961	1	1	2	0	2	266	234	176	500
24145	1	1	2	0	2	389	314	-76	500
36499	1	1	2	0	2	278	230	186	500
14724	1	1	2	0	2	233	198	182	500
49886	1	1	2	0	2	233	196	-39	500
45524	1	1	2	0	2	211	177	-40	500
59145	1	1	2	0	2	200	148	-41	500
29517	1	1	2	0	2	344	315	-172	500
10034	1	1	2	0	2	300	291	-173	500
33679	1	1	2	0	2	267	209	174	500
23660	1	1	2	0	2	222	178	175	500
55767	1	1	2	0	2	100	89	-35	500
47763	1	1	2	0	2	389	353	31	500
43351	1	1	2	0	2	355	328	-46	500
55628	1	1	2	0	2	389	300	7	500
15231	1	1	2	0	2	222	201	-50	500
47232	1	1	2	0	2	433	375	-190	500
23665	1	1	2	0	2	366	315	-42	500
56595	1	1	2	0	2	411	305	-106	500
31918	1	1	2	0	2	356	297	-193	500
