LINK	ANODE	BNODE	AB_000_015	AB_015_030	AB_030_045	AB_045_100	AB_100_115	AB_115_130	AB_130_145	AB_145_200	AB_200_215	AB_215_230	AB_230_245	AB_245_300	AB_300_315	AB_315_330	AB_330_345	AB_345_400	BA_000_015	BA_015_030	BA_030_045	BA_045_100	BA_100_115	BA_115_130	BA_130_145	BA_145_200	BA_200_215	BA_215_230	BA_230_245	BA_245_300	BA_300_315	BA_315_330	BA_330_345	BA_345_400
41	21	32	0.17	0.19	0.22	0.21	0.22	0.19	0.24	0.20	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.26	0.25	0.22	0.29	0.21	0.17	0.10	0.09	0.06	0.02	0.17	0.08	0.05	0.08	0.03	0.01
42	22	33	0.14	0.15	0.16	0.17	0.13	0.17	0.12	0.12	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.23	0.20	0.19	0.11	0.10	0.07	0.05	0.06	0.02	0.14	0.07	0.02	0.04	0.02	0.00
43	23	24	0.08	0.10	0.08	0.06	0.06	0.08	0.08	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.10	0.06	0.05	0.04	0.06	0.04	0.08	0.04	0.07	0.04	0.02	0.01	0.02	0.01	0.01
44	24	25	0.17	0.18	0.14	0.15	0.15	0.18	0.17	0.16	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.17	0.12	0.09	0.09	0.12	0.09	0.19	0.09	0.15	0.08	0.03	0.03	0.03	0.01	0.01
45	25	26	0.26	0.25	0.22	0.21	0.23	0.24	0.19	0.16	0.16	0.31	0.03	0.01	0.00	0.00	0.00	0.00	0.23	0.29	0.28	0.18	0.19	0.19	0.15	0.31	0.10	0.20	0.11	0.04	0.05	0.04	0.03	0.01
46	26	27	0.31	0.30	0.28	0.19	0.20	0.19	0.11	0.10	0.25	0.50	0.25	0.01	0.00	0.00	0.00	0.00	0.28	0.33	0.30	0.21	0.21	0.22	0.17	0.36	0.09	0.20	0.14	0.04	0.06	0.05	0.04	0.02
47	27	28	0.32	0.29	0.21	0.12	0.14	0.14	0.12	0.09	0.32	0.54	0.58	0.07	0.00	0.00	0.00	0.00	0.32	0.35	0.30	0.23	0.22	0.26	0.27	0.43	0.12	0.13	0.11	0.05	0.07	0.06	0.05	0.03
48	28	29	0.30	0.26	0.16	0.17	0.19	0.21	0.22	0.20	0.25	0.39	0.52	0.07	0.07	0.04	0.01	0.00	0.30	0.39	0.41	0.33	0.29	0.32	0.35	0.36	0.07	0.01	0.01	0.02	0.02	0.04	0.01	0.00
49	29	30	0.27	0.26	0.17	0.17	0.17	0.20	0.22	0.19	0.20	0.34	0.44	0.07	0.06	0.04	0.01	0.00	0.30	0.36	0.35	0.29	0.27	0.29	0.31	0.31	0.05	0.01	0.02	0.02	0.02	0.04	0.01	0.00
50	30	31	0.23	0.24	0.17	0.16	0.16	0.18	0.19	0.18	0.17	0.19	0.41	0.11	0.04	0.03	0.01	0.00	0.26	0.31	0.29	0.26	0.23	0.25	0.25	0.24	0.03	0.01	0.02	0.02	0.03	0.04	0.01	0.00
51	31	32	0.16	0.15	0.13	0.13	0.09	0.09	0.08	0.08	0.07	0.05	0.25	0.08	0.04	0.09	0.04	0.00	0.15	0.18	0.19	0.17	0.15	0.16	0.15	0.18	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00
52	32	33	0.08	0.08	0.07	0.06	0.04	0.04	0.04	0.04	0.03	0.03	0.11	0.05	0.02	0.04	0.02	0.00	0.08	0.08	0.09	0.09	0.07	0.08	0.06	0.09	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00
53	23	34	0.09	0.09	0.11	0.09	0.09	0.13	0.09	0.14	0.06	0.06	0.03	0.02	0.01	0.04	0.01	0.01	0.19	0.20	0.15	0.11	0.07	0.09	0.08	0.11	0.04	0.02	0.03	0.03	0.02	0.04	0.01	0.01
54	24	35	0.08	0.11	0.13	0.15	0.17	0.17	0.15	0.26	0.04	0.04	0.03	0.01	0.01	0.02	0.01	0.00	0.20	0.26	0.19	0.14	0.12	0.13	0.10	0.19	0.06	0.06	0.05	0.04	0.03	0.04	0.00	0.02
55	25	36	0.16	0.27	0.32	0.33	0.32	0.30	0.23	0.22	0.05	0.05	0.02	0.00	0.00	0.01	0.00	0.00	0.19	0.26	0.24	0.20	0.21	0.22	0.17	0.21	0.16	0.29	0.17	0.07	0.04	0.03	0.01	0.02
56	26	37	0.09	0.17	0.22	0.20	0.23	0.19	0.14	0.17	0.04	0.09	0.04	0.00	0.00	0.02	0.02	0.00	0.24	0.32	0.26	0.14	0.12	0.10	0.12	0.16	0.10	0.13	0.10	0.07	0.06	0.04	0.03	0.01
57	27	38	0.12	0.16	0.25	0.14	0.15	0.25	0.16	0.13	0.12	0.16	0.11	0.01	0.01	0.01	0.01	0.00	0.18	0.35	0.27	0.09	0.12	0.09	0.10	0.14	0.09	0.11	0.13	0.06	0.09	0.06	0.03	0.03
58	28	39	0.19	0.29	0.36	0.35	0.31	0.29	0.33	0.26	0.18	0.17	0.14	0.08	0.00	0.00	0.00	0.00	0.26	0.31	0.29	0.20	0.26	0.23	0.26	0.29	0.15	0.17	0.12	0.18	0.26	0.11	0.06	0.06
59	29	40	0.13	0.15	0.24	0.25	0.25	0.25	0.18	0.13	0.08	0.11	0.07	0.01	0.01	0.01	0.00	0.00	0.22	0.30	0.30	0.14	0.13	0.12	0.10	0.20	0.07	0.06	0.05	0.07	0.09	0.09	0.00	0.01
60	30	41	0.12	0.17	0.15	0.21	0.19	0.19	0.17	0.10	0.07	0.15	0.09	0.01	0.03	0.01	0.00	0.00	0.25	0.32	0.31	0.17	0.11	0.10	0.10	0.16	0.07	0.03	0.03	0.06	0.09	0.11	0.01	0.00
61	31	42	0.17	0.27	0.30	0.30	0.24	0.17	0.18	0.17	0.06	0.04	0.12	0.13	0.15	0.00	0.00	0.00	0.22	0.35	0.35	0.34	0.24	0.23	0.09	0.04	0.01	0.01	0.06	0.09	0.10	0.23	0.07	0.01
62	32	43	0.10	0.13	0.13	0.13	0.17	0.17	0.13	0.12	0.07	0.07	0.14	0.04	0.01	0.03	0.01	0.00	0.23	0.26	0.24	0.14	0.10	0.09	0.08	0.14	0.03	0.00	0.01	0.02	0.07	0.14	0.04	0.01
63	33	44	0.07	0.08	0.10	0.10	0.09	0.10	0.11	0.08	0.05	0.07	0.11	0.05	0.02	0.03	0.04	0.01	0.14	0.19	0.13	0.09	0.09	0.07	0.08	0.15	0.01	0.00	0.01	0.02	0.03	0.14	0.04	0.01
64	34	35	0.14	0.11	0.14	0.12	0.09	0.12	0.12	0.11	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.11	0.10	0.06	0.03	0.03	0.08	0.10	0.15	0.04	0.09	0.10	0.07	0.05	0.06	0.01	0.02
65	35	36	0.24	0.24	0.21	0.25	0.20	0.22	0.25	0.20	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.18	0.12	0.08	0.09	0.14	0.21	0.26	0.09	0.13	0.17	0.10	0.07	0.09	0.04	0.03
66	36	37	0.19	0.25	0.16	0.16	0.19	0.20	0.27	0.25	0.03	0.05	0.08	0.05	0.01	0.00	0.00	0.00	0.11	0.14	0.17	0.16	0.14	0.18	0.25	0.26	0.07	0.09	0.04	0.06	0.07	0.07	0.03	0.01
67	37	38	0.19	0.24	0.23	0.17	0.17	0.20	0.29	0.22	0.04	0.03	0.04	0.05	0.00	0.00	0.00	0.00	0.13	0.17	0.17	0.10	0.12	0.14	0.26	0.26	0.08	0.10	0.06	0.04	0.13	0.09	0.06	0.01
68	38	39	0.24	0.26	0.29	0.15	0.17	0.14	0.23	0.30	0.45	0.07	0.05	0.04	0.01	0.00	0.00	0.00	0.14	0.22	0.17	0.08	0.13	0.07	0.35	0.32	0.11	0.09	0.09	0.11	0.19	0.09	0.07	0.04
69	39	40	0.18	0.22	0.16	0.08	0.12	0.10	0.11	0.20	0.26	0.26	0.11	0.16	0.16	0.11	0.01	0.03	0.23	0.27	0.26	0.23	0.25	0.22	0.27	0.40	0.22	0.01	0.06	0.02	0.03	0.04	0.01	0.00
70	40	41	0.14	0.20	0.16	0.10	0.09	0.12	0.13	0.16	0.20	0.23	0.10	0.10	0.14	0.11	0.01	0.01	0.20	0.20	0.21	0.26	0.16	0.17	0.20	0.20	0.04	0.01	0.07	0.05	0.07	0.09	0.01	0.00
71	41	42	0.13	0.21	0.16	0.15	0.13	0.10	0.12	0.12	0.09	0.13	0.12	0.17	0.12	0.23	0.01	0.00	0.19	0.19	0.23	0.19	0.14	0.09	0.11	0.14	0.02	0.01	0.11	0.09	0.13	0.12	0.02	0.01
72	42	43	0.14	0.11	0.07	0.09	0.06	0.03	0.04	0.09	0.02	0.03	0.06	0.12	0.47	0.52	0.16	0.04	0.20	0.20	0.23	0.23	0.17	0.13	0.13	0.14	0.04	0.04	0.12	0.07	0.08	0.02	0.00	0.00
73	43	44	0.05	0.08	0.03	0.04	0.03	0.04	0.05	0.07	0.05	0.06	0.04	0.06	0.20	0.30	0.09	0.03	0.14	0.10	0.13	0.12	0.10	0.10	0.12	0.11	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00
74	34	45	0.13	0.11	0.09	0.12	0.16	0.16	0.13	0.11	0.01	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.13	0.15	0.12	0.06	0.05	0.06	0.09	0.10	0.07	0.06	0.09	0.06	0.04	0.04	0.03	0.03
75	35	46	0.11	0.12	0.16	0.23	0.27	0.23	0.19	0.16	0.03	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.16	0.25	0.15	0.10	0.06	0.05	0.14	0.16	0.07	0.13	0.17	0.07	0.06	0.04	0.03	0.03
76	36	47	0.19	0.31	0.39	0.42	0.40	0.35	0.27	0.21	0.07	0.04	0.02	0.00	0.00	0.00	0.00	0.00	0.24	0.35	0.30	0.21	0.19	0.17	0.17	0.24	0.18	0.26	0.26	0.09	0.06	0.05	0.02	0.03
77	37	48	0.15	0.20	0.27	0.27	0.32	0.32	0.21	0.19	0.02	0.04	0.03	0.00	0.01	0.00	0.00	0.00	0.20	0.22	0.23	0.09	0.09	0.10	0.17	0.20	0.10	0.09	0.11	0.23	0.11	0.04	0.04	0.05
78	38	49	0.16	0.16	0.26	0.25	0.26	0.30	0.24	0.13	0.08	0.07	0.04	0.00	0.01	0.00	0.00	0.00	0.17	0.22	0.21	0.13	0.09	0.06	0.11	0.15	0.08	0.12	0.09	0.07	0.17	0.11	0.06	0.04
79	39	50	0.24	0.35	0.45	0.34	0.23	0.31	0.37	0.45	0.45	0.14	0.13	0.08	0.00	0.00	0.00	0.00	0.30	0.39	0.37	0.24	0.29	0.20	0.22	0.14	0.11	0.23	0.16	0.26	0.36	0.16	0.08	0.09
80	40	51	0.16	0.20	0.27	0.31	0.29	0.27	0.13	0.19	0.10	0.07	0.03	0.02	0.01	0.00	0.00	0.00	0.20	0.25	0.19	0.12	0.05	0.10	0.11	0.19	0.09	0.13	0.13	0.11	0.19	0.13	0.01	0.01
81	41	52	0.20	0.17	0.22	0.27	0.25	0.22	0.18	0.15	0.08	0.07	0.04	0.04	0.01	0.01	0.00	0.00	0.19	0.22	0.22	0.15	0.06	0.07	0.10	0.19	0.11	0.04	0.06	0.09	0.22	0.16	0.01	0.00
82	42	53	0.19	0.32	0.36	0.27	0.18	0.10	0.15	0.16	0.05	0.08	0.12	0.19	0.31	0.19	0.00	0.00	0.24	0.35	0.37	0.34	0.26	0.24	0.08	0.02	0.00	0.00	0.09	0.12	0.15	0.39	0.12	0.03
83	43	54	0.12	0.15	0.15	0.22	0.21	0.20	0.15	0.15	0.04	0.01	0.03	0.04	0.08	0.03	0.01	0.00	0.17	0.20	0.17	0.10	0.06	0.10	0.11	0.17	0.04	0.01	0.03	0.07	0.13	0.32	0.08	0.03
84	44	55	0.09	0.07	0.14	0.15	0.15	0.17	0.08	0.09	0.04	0.04	0.02	0.02	0.01	0.03	0.00	0.00	0.11	0.11	0.13	0.07	0.04	0.10	0.09	0.14	0.01	0.01	0.03	0.07	0.09	0.21	0.03	0.01
85	45	46	0.16	0.13	0.12	0.15	0.17	0.13	0.11	0.10	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.03	0.04	0.03	0.06	0.14	0.09	0.06	0.14	0.07	0.08	0.07	0.04	0.01	0.06	0.05
86	46	47	0.23	0.23	0.24	0.25	0.25	0.23	0.26	0.22	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.08	0.07	0.06	0.12	0.23	0.14	0.11	0.21	0.15	0.16	0.09	0.08	0.05	0.07	0.06
87	47	48	0.19	0.16	0.17	0.20	0.22	0.21	0.18	0.15	0.04	0.10	0.11	0.03	0.00	0.01	0.00	0.01	0.12	0.16	0.23	0.18	0.13	0.23	0.22	0.23	0.17	0.09	0.04	0.10	0.09	0.06	0.05	0.03
88	48	49	0.19	0.17	0.22	0.25	0.25	0.25	0.22	0.17	0.03	0.06	0.07	0.07	0.00	0.00	0.00	0.00	0.07	0.12	0.20	0.09	0.10	0.19	0.19	0.29	0.22	0.12	0.07	0.07	0.11	0.08	0.09	0.05
89	49	50	0.23	0.22	0.30	0.22	0.19	0.24	0.20	0.18	0.16	0.43	0.06	0.07	0.05	0.02	0.00	0.00	0.09	0.14	0.17	0.11	0.07	0.14	0.25	0.30	0.25	0.16	0.11	0.10	0.09	0.04	0.13	0.05
90	50	51	0.14	0.13	0.11	0.12	0.08	0.12	0.16	0.20	0.35	0.23	0.14	0.16	0.18	0.14	0.01	0.01	0.22	0.29	0.25	0.23	0.18	0.22	0.17	0.22	0.23	0.25	0.07	0.06	0.04	0.04	0.04	0.00
91	51	52	0.13	0.14	0.11	0.09	0.09	0.16	0.13	0.23	0.25	0.15	0.09	0.12	0.18	0.08	0.00	0.01	0.20	0.17	0.17	0.22	0.16	0.21	0.23	0.17	0.03	0.02	0.07	0.09	0.04	0.07	0.04	0.00
92	52	53	0.14	0.16	0.13	0.15	0.10	0.12	0.08	0.15	0.13	0.05	0.07	0.16	0.20	0.23	0.20	0.01	0.12	0.16	0.15	0.17	0.12	0.16	0.17	0.10	0.02	0.03	0.11	0.13	0.15	0.14	0.03	0.00
