LINK	ANODE	BNODE	AB_000_015	AB_015_030	AB_030_045	AB_045_100	AB_100_115	AB_115_130	AB_130_145	AB_145_200	AB_200_215	AB_215_230	AB_230_245	AB_245_300	AB_300_315	AB_315_330	AB_330_345	AB_345_400	BA_000_015	BA_015_030	BA_030_045	BA_045_100	BA_100_115	BA_115_130	BA_130_145	BA_145_200	BA_200_215	BA_215_230	BA_230_245	BA_245_300	BA_300_315	BA_315_330	BA_330_345	BA_345_400
23	13	14	0.80	0.85	0.86	0.84	0.88	0.84	0.82	0.81	0.80	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.72	0.72	0.72	0.73	0.72	0.72	0.72	0.73	0.73	0.72	0.72	0.72	0.72	0.71	0.71	0.72
24	14	15	0.73	0.73	0.73	0.73	0.73	0.73	0.73	0.73	0.72	0.72	0.72	0.70	0.73	0.75	1.00	1.00	0.79	0.79	0.79	0.79	0.78	0.77	0.78	0.78	0.75	0.80	0.77	0.74	0.76	0.74	0.75	0.77
25	15	16	0.73	0.72	0.73	0.73	0.73	0.72	0.74	0.73	0.73	0.71	0.71	0.72	1.00	1.00	1.00	1.00	0.72	0.72	0.72	0.72	0.72	0.72	0.72	0.73	0.72	0.73	0.73	0.72	0.71	0.72	0.71	0.71
26	16	17	0.82	0.85	0.84	0.80	0.80	0.83	0.84	0.89	0.83	0.77	0.77	0.74	0.72	1.00	1.00	1.00	0.72	0.72	0.73	0.72	0.73	0.72	0.72	0.73	0.71	0.71	0.71	0.71	0.73	0.70	0.71	0.72
27	17	18	0.72	0.73	0.73	0.73	0.72	0.72	0.72	0.73	0.73	0.72	0.72	0.71	0.72	0.72	0.70	0.71	0.83	0.80	0.79	0.82	0.81	0.79	0.83	0.85	0.77	1.00	1.00	0.79	1.00	1.00	1.00	1.00
28	18	19	0.72	0.73	0.73	0.72	0.73	0.73	0.73	0.72	0.72	0.72	0.72	0.72	0.72	0.71	1.00	0.69	0.72	0.72	0.72	0.73	0.73	0.73	0.72	0.72	0.71	1.00	0.73	0.71	0.73	0.71	1.00	1.00
29	19	20	0.78	0.83	0.81	0.82	0.80	0.86	0.79	0.77	0.76	0.75	0.76	0.79	0.74	0.73	1.00	0.75	0.72	0.73	0.73	0.73	0.73	0.73	0.73	0.73	0.71	1.00	0.71	0.73	0.72	0.73	0.79	1.00
30	20	21	0.73	0.73	0.72	0.73	0.73	0.73	0.72	0.72	0.72	0.72	0.72	0.72	0.71	0.71	0.73	1.00	0.79	0.80	0.78	0.79	0.78	0.81	0.81	0.78	0.85	1.00	1.00	1.00	1.00	1.00	1.00	1.00
31	21	22	0.74	0.73	0.73	0.74	0.73	0.73	0.72	0.73	0.71	0.74	0.73	0.73	0.72	0.73	0.72	0.77	0.73	0.73	0.73	0.73	0.73	0.74	0.73	0.73	0.71	1.00	0.74	1.00	1.00	1.00	1.00	1.00
32	12	23	0.80	0.79	0.80	0.78	0.78	0.80	0.78	0.80	0.83	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.74	0.73	0.73	0.73	0.72	0.72	0.72	0.73	0.72	0.72	0.73	0.72	0.73	0.71	0.72	0.72
33	13	24	0.80	0.80	0.80	0.78	0.79	0.81	0.78	0.82	0.96	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.75	0.73	0.73	0.72	0.73	0.73	0.72	0.73	0.73	0.72	0.72	0.72	0.71	0.71	0.71	0.71
