ACCESS	FROM_ID	FROM_TYPE	TO_ID	TO_TYPE	TIME	COST
136	68	PARKING	68	ACTIVITY	0	0
137	69	ACTIVITY	69	PARKING	0	0
138	69	PARKING	69	ACTIVITY	0	0
139	70	ACTIVITY	70	PARKING	0	0
140	70	PARKING	70	ACTIVITY	0	0
141	71	ACTIVITY	71	PARKING	0	0
142	71	PARKING	71	ACTIVITY	0	0
143	72	ACTIVITY	72	PARKING	0	0
144	72	PARKING	72	ACTIVITY	0	0
145	73	ACTIVITY	73	PARKING	0	0
146	73	PARKING	73	ACTIVITY	0	0
147	74	ACTIVITY	74	PARKING	0	0
148	74	PARKING	74	ACTIVITY	0	0
149	75	ACTIVITY	75	PARKING	0	0
150	75	PARKING	75	ACTIVITY	0	0
151	76	ACTIVITY	76	PARKING	0	0
152	76	PARKING	76	ACTIVITY	0	0
